,tweet
88,"A high value drug personality is facing criminal charges for violation of RA 9165.
Read more: https://t.co/5GZvHpudGX

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna
https://t.co/txtYyrzpsG https://t.co/L7dpyQwIyR"
89,"Intensified police visibility through a random checkpoint paved the way for the discovery of more smuggled cigarettes loaded inside a van.
Read more: https://t.co/uBr3af0KSG

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/xXjF0Fd0TB"
90,"Another shipment of smuggled cigarettes in another operation in Zamboanga City.

Read more: https://t.co/YEcKqyLEdN

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/ZPrkl3PFE4"
91,"Police operatives from the Koronadal Police Station who were responding to a reported vehicular accident later discovered a huge stash of contraband.

Read more: https://t.co/pIm8plhDHk

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/hE49PqYrYV"
92,"Two communist terrorist members voluntarily surrendered to authorities in Northern Samar.

Read more: https://t.co/ThjFbL3IGE

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/hZhEBKuDxZ"
93,"A series of Marijuana eradications yielded some P27M worth of prohibited Cannabis products in four separate plantation sites in Tinglayan, Kalinga.

Read more: https://t.co/vm52qrPCPD

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/4dTIrMTmj9"
94,"An anti-illegal drug operation led to the discovery of contraband in a Cargo Warehouse in Andrews Avenue, Pasay City.

Read more: https://t.co/4mrrPrrgIy

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/CEF1doUpFY"
95,"A drug suspect will face criminal charges for violation of RA 9165 after being caught in possession of Php374,000.00 worth of shabu.

Read more: https://t.co/PW8ySUBAc6

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/dVIrriV48z"
96,"PNP OIC PLTGEN Danao Jr.  lauded anew the Southern Luzon police operatives for arresting an individual charged with violation of RA 10591.

Read more: https://t.co/tJ3ZCGcILm

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/jjLrqQVS0b"
97,"A 22-year-old male drug personality was apprehended in Cagangohan, Panabo City.

Read more: https://t.co/68uB2hSJsm

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/SPRn59GMr9"
98,"Top public officials of Pilar, Abra surrendered their firearms to the police authorities.

Read more: https://t.co/ipItHzosx6

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/AzgjGdyvGb"
99,"Two more suspected drug traffickers are facing criminal charges in Cebu City for  serious drug offenses.

Read more: https://t.co/5fIVYGxG70

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/OfHrYOOR4N"
100,"Police and military personnel launched a Marijuana eradication operation at Barangay Tacub, Kiblawan, Davao del Sur

Read more: https://t.co/MmrsVARqz3

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/8sk8jzyv7N"
101,"Western Visayas anti-illegal drug operation yielded over P2.3 million worth of shabu which led to the arrest of another high-value drug suspect.

Read more: https://t.co/RitH2rTHKK

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/CfgzlAQAUf"
102,"PLTGEN Vicente D Danao Jr., OIC, PNP officially visited Police Regional Office CALABARZON and Talk to Men

Read more: https://t.co/M9bHiBZJbO

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/H8868VzZMJ"
103,"PLTGEN VICENTE D DANAO JR, OIC, PNP visits the Police Regional Office 4A.
Read more: https://t.co/GKorHuRhBV

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/arMPAtOfeg"
104,"Logistics Support Service (LSS) 64th Founding Anniversary.

Read more: https://t.co/GiX1UvMraD

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/ivDi1d5fAD"
105,"Cebuâs number one most wanted person was arrested by operatives in a police operation on Monday afternoon at Brgy. Candamiang, Santander, Cebu.

Read more: https://t.co/tfXhe2Gzrz

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/6DdN1YWc3a"
106,"The PNP cautioned the public to be extra vigilant in investing their hard-earned money to dubious income- generating schemes.

Read more: https://t.co/WUNzVIlBHo

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit

https://t.co/txtYyrimqG https://t.co/JXrf9o1qXf"
107,"Flag Raising Ceremony and Awarding of Personnel with Significant Accomplishments.

Read more: https://t.co/fGLdiAmUZV

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrimqG
https://t.co/Et8tu51evU
https://t.co/5VdvBt96eC https://t.co/wktnnJHGfv"
108,"Two separate drug-bust operations in Cebu resulted to the seizure of over P2.2 million worth of shabu and arrest of two high value individuals.

Read more: https://t.co/fEcxTImPZe

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/eypXf3HlNl"
109,"Ang pagtataas ng Watawat ng Pilipinas bilang pagdiriwang sa ika-124 taon ng Araw ng Kalayaan.
Read more: https://t.co/B1QCdYOTqT

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#SerbisyongTamaTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/bsVrb88GEl"
110,"Ang Pambansang Pulisya ng Pilipinas sa pag gunita ng ika-124 taong pagdiriwang ng Araw ng Kalayaan.

Read more: https://t.co/5nfkd4LIRA

#PNPKakampiMo
#SerbisyongTAMA
#SerbisyongTamaTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/5VdvBtq9gC
https://t.co/Et8tu4J5hM https://t.co/pTCArIGlTh"
111,"Police operatives confiscated a large stash of Shabu during a search ordered by the court in a suspected drug den.

Read more: https://t.co/bc37k7mmev

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/tAWfkJQYF2"
112,"Another buy-bust operation resulted to the arrest of multiple drug suspects.

Read more: https://t.co/G1HrnZXYPR

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/256bZ8GLYL"
113,"An Indian national robbery suspect who allegedly robbed a fellow Indian trader at gunpoint was shot dead by a police officer who responded to the ongoing robbery.

Read more: https://t.co/0MQwa3el1Z

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/MlJB5VfEVg"
114,"Through a hot pursuit operation, police authorities arrested a 31-year-old Robbery with Homicide.

Read more: https://t.co/1Dn61fGC9A

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/k2ZE1ujaYy"
115,"As the election period officially concluded on midnight of June 8th, the PNP has accounted for a total of 3,829 arrested persons.

Read more: https://t.co/nuetnAMida

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/7TVKrc1VPH"
116,"Four suspected drug personalities will face criminal charges for violation of RA 9165.
Read more: https://t.co/AlzxHsrUoq

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/PMbT1XFqxx"
117,"Three suspected drug personalities will face criminal charges for violation of RA 9165 or the Comprehensive Dangerous Drugs Act of 2002.

Read more: https://t.co/hzthY8dKDC

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/eIsKVX99Kz"
118,"Police authorities conducted a buy-bust operation that led to the apprehension of a newly identified high value individual.

Read more: https://t.co/9zBeNOUAHA

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/OegZwTLlIL"
119,"Seized inside the vehicle were nine boxes of smuggled cigarettes worth P135,000.00.

Read more: https://t.co/US3UowvBwt

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/Kl50kuXu5N"
120,"PNP OIC LtGen Vicente Danao Jr. lauds the successful anti-illegal drug operation in DasmariÃ±as, Cavite that yielded P47.6 million worth of shabu.

Read more: https://t.co/4TOc8ljCnW

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/YIClfNZJtO"
121,"Around P61.2 million worth of shabu was seized during a buy-bust operation in Brgy. Don Galo, ParaÃ±aque City.

Read more: https://t.co/OeCyJC6vcJ

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrhOB8
https://t.co/Et8tu50GGm https://t.co/7BHeVGtMOl"
122,"A high value drug personality and Camarines Norteâs Top 10 Most Wanted Person were successfully arrested by Southern Luzon police authorities.
Read more: https://t.co/8W2e1aRjbP

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/sgSKrSi6EE"
123,"PNP PROCURES P764-MILLION NEW EQUIPMENT

Read more: https://t.co/Gu97RFYeuP

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/KbxxsMTD2q"
124,"Another anti-illegal drug operation in Cebu City on Sunday evening yielded P510k illegal drugs and arrested drug suspect.

Read more: https://t.co/w4RDaYd1k4

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/9lihxP7YRC"
125,"The Chief Directorial Staff, PLtGen Manuel Abu presents the Award of ""Medalya ng Kagalingan"".

Read more: https://t.co/XK5LdOc2yd

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/AbEhBhgeHO"
126,"A 30-year-old high-value individual was arrested in a buy-bust operation.

Read more: https://t.co/zDNtpMengU

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/WSSswPYE1b"
127,"PNP recognizes a police officerâs courage who died in anti-drug operation in Cebu

Read more: https://t.co/YBhwHJBwZv

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/c6mrSuQRrm"
128,"The PNP is on full alert to respond to the ongoing effect of the Mt. Bulusan Phreatic Eruption in Sorsogon.

Read more: https://t.co/qyEQ1QR3DH

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/yolwqfByRh"
129,"A controlled delivery operation at the Central Mail Exchange Center, Domestic Road, Pasay City yielded a parcel containing shabu with an estimated value of P5.1 million.

Read more: https://t.co/Wi57wvTaTH
#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA https://t.co/OZE6YizdpY"
130,"Over P3.7 million worth of shabu were confiscated while two high value drug personalities arrested in separate Luzon-wide drug sting operations.

Read more: https://t.co/yCAjsAqYm5

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/nL9ldVCkTb"
131,"Police authorities captured Aklan's 2nd Most Wanted Person during manhunt operations.

Read more: https://t.co/TIgh7jWqwZ

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/Ku7bNi0Gf0"
132,"PNP OIC Lt. Gen. Vicente D Danao Jr. said this was the product of a coordinated and successful police and PDEA operation.
Read more: https://t.co/GnFZiUS2n4

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/IOYEDn43OS"
133,"Six drug suspects were arrested in separate anti-illegal drug operations conducted by Bacolod City operatives which yielded over P2.4 million of shabu.
Read more: https://t.co/QQ6IcFhIrM

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/PUkPVW2vjM"
134,"A 47 year-old drug suspect was arrested in a buy-bust operation.
Read more: https://t.co/bLCWuazia1

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/9FcxGTcg2M"
135,"Seized from his possession was more or less 1 kilogram of shabu worth P6.8 million.

Read more: https://t.co/6oTyc2fOYE

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/knhVXdqqIp"
136,"Launching of Enhanced Monitoring of Police Overall Wellness (EMPOw)  Program.

Read more: https://t.co/ltHyU6Ig3P

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/sbqpVsinYB"
137,"Message of the OIC, PNP PLTGEN VICENTE D DANAO JR during the Day 2 of the Duterte Legacy Summit

Read more: https://t.co/9iUTVhsfXD

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/n4nwgtp4Hw"
138,"A 48 year-old suspect wanted for kidnapping was arrested by police authorities.

Read more: https://t.co/mp7maLi1Xk

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/QWwUx1tl53"
139,"Four suspected Chinese kidnappers allegedly involved in the abduction of a Chinese national in the Visayas region died in a shoot-out with police authorities.

Read more: https://t.co/B0E8tJFklc
#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/zE4x6E7ghh"
140,"The PNP is conducting further probe of two successive explosions that were recorded in Isabela City, Basilan.

Read more: https://t.co/WLcLczrsMk

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/WAPvh4u0uf"
141,"Isang pagbati ng maligayang kaarawan sa ating Vice President-elect Sara Z. Duterte-Carpio mula sa Pamabansang Pulisya ng Pilipinas.  

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/F8rYOnLOOt"
142,"The PNP Special Action Forces (SAF) celebrates their 39th Founding Anniversary.

Read more: https://t.co/pcP0aX2P7d

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/lZS8DiJwHD"
143,"Awarding of PNP DEG personnel, reinforces commitment to protect women and children from all forms of abuse

Read more: https://t.co/hZx4vXxiBB

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/oSaRLA0w6b"
144,"The PNP commemorated the 2022 International Day of United Nations Peacekeepers.

Read more: https://t.co/h9K4m2YMEo

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/ZaSnYHbriQ"
145,"The PNP in Cebu City arrested a 34-year-old drug suspect in a buy-bust operation.
Read more: https://t.co/O5SCW4iimw

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/WZoZXkdO8M"
146,"PNP OIC PLTGEN Danao Jr. confirmed that a vice commanding officer of the mainstream CPP-NPA in Southern Luzon was killed during an armed confrontation.
Read more: https://t.co/098IDN9vMy

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/1RosfwneJL"
147,"Two drug suspects were arrested and P884K worth of suspected shabu were seized by Cebu police in a buy-bust operation.

Read more: https://t.co/wTkxfdpsiV

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangatMalasakit https://t.co/i4UkowVZZ7"
148,"Police authorities arrested two alleged abductors of a 15-year-old Grade 10 student in Las Pinas City.

Read more: https://t.co/1ErQEHhu2G

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/XeE0qeKa19"
149,"Another high value drug suspect is now facing charges for violation of RA 9165 after being arrested by police operatives in buy-bust operation.
Read more: https://t.co/uJ4nr47g3P

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/ygXZ4suzi5"
150,"The PNP in Central Mindanao responded swiftly to an incident of explosion in Koronadal City on May 26, 2022.
Read more: https://t.co/HNrbz0Vdg9

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/dwpsKhCUp8"
151,"Authorities seized more than P7 million worth of illegal drugs which was concealed in a water purifier during a controlled delivery operation.

Read more: https://t.co/9ZIZcc4idP
#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit https://t.co/NUW73H7T39"
152,"PNP STATEMENT re On Proclamation of  Ferdinand Marcos Jr. and Sara Duterte-Carpio

Read more: https://t.co/FyIuLMZqKC

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMA
#PNPTapatMayTapangAtMalasakit

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/YHREHRk5yJ"
